"source","dest","action","shDest","verified"
"F:\VS Code Workspace\Main\novapolis_agent\scripts\cleanup_phase3.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\cleanup_phase3.ps1","MOVED","23EF08ADE20C3D9DA193DECFA52AC3EAF324F1E2D74A5B9FD212C645EB55509B","True"
"F:\VS Code Workspace\Main\novapolis_agent\scripts\cleanup_phase4.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\cleanup_phase4.ps1","MOVED","6CD085C07D3A5204263DBB1FA786DDA4272495653DD1E3FEA940D6DC69762448","True"
"F:\VS Code Workspace\Main\novapolis_agent\scripts\history_purge_plan.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\history_purge_plan.ps1","MOVED","417C7DECFD0E2F0C3C4CB93FBFFA14C57824B4A68696D41F70334BFA254F5F2C","True"
"F:\VS Code Workspace\Main\novapolis-rp\coding\tools\curation\build-staging-reports.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\build-staging-reports.ps1","MOVED","34097AD78450F0C08A39ACEABF56DB32AB5CB6CEF1702309C6C1FE1B1582CB15","True"
"F:\VS Code Workspace\Main\novapolis-rp\coding\tools\diagnostics\systemcheck.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\systemcheck.ps1","MOVED","AD58CF28836D9DE5166DD2B11C98D03BFB705A78719AC23DAB58C458D6D7A6C1","True"
"F:\VS Code Workspace\Main\novapolis-rp\coding\tools\diagnostics\with_lock.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\with_lock.ps1","MOVED","138D879236CCEA1A7132C1EF13D07DEA1416E39AB62ECA2416262568E4F32349","True"
"F:\VS Code Workspace\Main\novapolis-rp\coding\tools\validators\run_check_names.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\run_check_names.ps1","MOVED","37BE3702398281CAE15EBB35513E16F2DE77A59C0BB88CD44E70CE339E43A3B1","True"
"F:\VS Code Workspace\Main\novapolis-rp\coding\tools\validators\run_validate_all.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\run_validate_all.ps1","MOVED","CDD52AD26477F9A64861EE19B7A358EB33CFE7D4004AF861E796C9977B77FE1D","True"
"F:\VS Code Workspace\Main\scripts\append_done_and_push.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\append_done_and_push.ps1","MOVED","66419C8E69859F04E8358548563DDA3957A9DD296929781D679B3C5C0D5A7E17","True"
"F:\VS Code Workspace\Main\scripts\checks_linters.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\checks_linters.ps1","MOVED","161993CD85C43D92A960B87CAA08ACA1F383693FAC1D32E5F4C2A2F12DE839F9","True"
"F:\VS Code Workspace\Main\scripts\checks_types.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\checks_types.ps1","MOVED","99E22F2183E94572796316FC43EA9EEB805F2CD12E5D3D706B86BAB7E02D4FC4","True"
"F:\VS Code Workspace\Main\scripts\cleanup_workspace_files.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\cleanup_workspace_files.ps1","MOVED","7E94DACE615BBF7C08E3A355C34BD5F01032639831B8B62A2F2671A85C9E4453","True"
"F:\VS Code Workspace\Main\scripts\collect_commit_times_batch1.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\collect_commit_times_batch1.ps1","MOVED","95DD371D7503A4C491FC924B9E6AFA5300BA9843D1033AA6A21FB69C3F007A5D","True"
"F:\VS Code Workspace\Main\scripts\diagnostics.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\diagnostics.ps1","MOVED","1A79B1E113702DEE6FFB347D0CFD3A45CDE3CFD9E44C9D063196AECF7BCE2E24","True"
"F:\VS Code Workspace\Main\scripts\git_commit_push.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\git_commit_push.ps1","MOVED","A176F6E549B6C1BB596E87A6171D90D1696538723CA9FD9BAB186ABC77522BD8","True"
"F:\VS Code Workspace\Main\scripts\install_hooks.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\install_hooks.ps1","MOVED","46205DC7736DA3ABAE0D51C6FBBB50F503A90051A7FA779D90A333EDBCF668D0","True"
"F:\VS Code Workspace\Main\scripts\rotate_backups.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\rotate_backups.ps1","MOVED","15F6DDE47DAF7942746A9BE5C2C6C2E419043E6D42B606F487B8854DBDF8975E","True"
"F:\VS Code Workspace\Main\scripts\run_frontmatter_validator.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\run_frontmatter_validator.ps1","MOVED","DCBE6E4653CB9A2194FEDCFD4B8C8218C97D15EA331C702941AFCEEC847D770A","True"
"F:\VS Code Workspace\Main\scripts\run_linters.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\run_linters.ps1","MOVED","1DA4712350B37AB3F0141D9005F76BEBE5FAC42B6547B72624AF8B2EBEA26502","True"
"F:\VS Code Workspace\Main\scripts\run_pytest_coverage.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\run_pytest_coverage.ps1","MOVED","97B845E2E7E9EDF16F8CCB41A8D65D111046406737BA8BCFE458C9517E9E3EE4","True"
"F:\VS Code Workspace\Main\scripts\run_pytest_quick.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\run_pytest_quick.ps1","MOVED","544CDC0447C2F45D7468F58F78346BC6491D708D0A45458B226713F785F2453E","True"
"F:\VS Code Workspace\Main\scripts\run_sim_headless.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\run_sim_headless.ps1","MOVED","EA0E9EB0FAB3287160416D9E7E8B3B173AE4ED39679F1440BDCC5EE321B4F64E","True"
"F:\VS Code Workspace\Main\scripts\scan_links.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\scan_links.ps1","MOVED","4B5063FBC47086753C0D0728AD9EB93D5C319CB15DD370B8934394C83B55B594","True"
"F:\VS Code Workspace\Main\scripts\setup_root_venv.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\setup_root_venv.ps1","MOVED","73015EF344224AE6C57ACCB58937581DF99D41B701AE1A4E838306A18A7BA2CC","True"
"F:\VS Code Workspace\Main\scripts\snapshot_gate.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\snapshot_gate_DFAFF424.ps1","MOVED","DFAFF42436E6AC22B003FD952A513A0892B1A92DBB81A399245197668DA286DF","True"
"F:\VS Code Workspace\Main\scripts\snapshot_write_lock.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\snapshot_write_lock_D9D8CFB5.ps1","MOVED","D9D8CFB5E9F64427F7E6EAED3CADCE1D0FE87445ABF3925FB411AB9F0A67D6F7","True"
"F:\VS Code Workspace\Main\scripts\tests_pytest_root.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\tests_pytest_root.ps1","MOVED","3CF7827F2413FF54DD951832E72AABECF3A340CCC949C8786FD90DFC281104D1","True"
"F:\VS Code Workspace\Main\scripts\update_backups_manifest.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\update_backups_manifest.ps1","MOVED","743AEF029D1DC6D35ECFB06334B862E27EDF3F6F1158563DCB57D762CD2B2847","True"
"F:\VS Code Workspace\Main\scripts\update_workspace_tree_dirs.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\update_workspace_tree_dirs.ps1","MOVED","80D59D0BB1402932A7C9C741D3C6A64F07FFDFE47994B3DBBAE36F7AAEF57020","True"
"F:\VS Code Workspace\Main\scripts\verify_sim.ps1","novapolis-dev\archive\scripts\scripts.ps1-scripts\verify_sim.ps1","MOVED","DAD0C4C3BBE28C674B30898D9630F0025D0A510D04F50CC3AA1A4D69B9FC0AA1","True"
