"source","dest","action","shDest","verified"
"F:\VS Code Workspace\Main\novapolis-dev\archive\copilot-instructions-update-tode.archive.md","novapolis-dev\archive\docs\others\copilot-instructions-update-tode.archive.md","MOVED","665654CBCC99E1BC67D4CD6D395D142FF2C029FC52FD73C4F23541EFF7E15D1D","True"
"F:\VS Code Workspace\Main\novapolis-dev\archive\README.md","novapolis-dev\archive\docs\others\README.md","MOVED","6CF97DB8762135D5B75FA4A1CBF4D711DC86CA8EC97533624B9EBE53D6616B8A","True"
"F:\VS Code Workspace\Main\novapolis-dev\archive\tasks_archive_20251114_tasks.json","novapolis-dev\archive\docs\others\tasks_archive_20251114_tasks.json","MOVED","45B2B54D3EDE7861734F47184EF9C56B54A2ABA9216B2F533EB7EE59687DDCF4","True"
"F:\VS Code Workspace\Main\novapolis-dev\archive\todo.agent.archive.md","novapolis-dev\archive\docs\todos\todo.agent.archive.md","MOVED","F4E513ADF733032BB8C8D198F063E5C955416F93968D95A9A60D6F5B85633CE9","True"
"F:\VS Code Workspace\Main\novapolis-dev\archive\todo.dev.archive.md","novapolis-dev\archive\docs\todos\todo.dev.archive.md","MOVED","A171E65A94A5D28E8E336C153FB4EF9D1E16C8215669DAE9303C41AEEBF7218D","True"
"F:\VS Code Workspace\Main\novapolis-dev\archive\todo.root.archive.md","novapolis-dev\archive\docs\todos\todo.root.archive.md","MOVED","791BB8BC933CE707330A12DADA5CCB31CEB8F4B0F77C76DA877850FD9B6D541E","True"
"F:\VS Code Workspace\Main\novapolis-dev\archive\todo.rp.archive.md","novapolis-dev\archive\docs\todos\todo.rp.archive.md","MOVED","2BC08DCA4A081DEAA003C7C84AFAA1E978E72C575B8448E1CDBB16DC75784386","True"
"F:\VS Code Workspace\Main\novapolis-dev\archive\todo.sim.archive.md","novapolis-dev\archive\docs\todos\todo.sim.archive.md","MOVED","961AE5243D8008977FDF7B25F2C01188E86CEDFF798DDE102D6F90EDFE198E30","True"
"F:\VS Code Workspace\Main\novapolis-dev\archive\2025\2025-11-09-single-root-todo.md","novapolis-dev\archive\docs\todos\2025-11-09-single-root-todo.md","MOVED","811AEC94C1221DC494A0D6E7238EC6AB1251F318DD2E13FC1C4BEE83B6149981","True"
"F:\VS Code Workspace\Main\novapolis-dev\archive\docs_archives_20251114_202548\20251112_033338_WORKSPACE_INDEX.md.bak.linkscan.pointer.md","novapolis-dev\archive\docs\others\20251112_033338_WORKSPACE_INDEX.md.bak.linkscan.pointer.md","MOVED","F65321AA3F914F21FE29009BED2030E243093044AA7676130901688A2B2FEC54","True"
